Year,Month,Day,CA Avg,US Avg
2002,1,7,1.174,1.152
2001,12,31,1.146,1.137
2001,12,24,1.155,1.113
2001,12,17,1.186,1.101
2001,12,10,1.243,1.136
2001,12,3,1.289,1.149
2001,11,26,1.338,1.168
2001,11,19,1.38,1.208
2001,11,12,1.424,1.224
2001,11,5,1.468,1.249
2001,10,29,1.515,1.277
2001,10,22,1.55,1.307
2001,10,15,1.596,1.351
2001,10,8,1.628,1.393
2001,10,1,1.671,1.455
2001,9,24,1.705,1.522
2001,9,17,1.717,1.564
2001,9,10,1.722,1.562
2001,9,3,1.689,1.579
2001,8,27,1.582,1.523
2001,8,20,1.572,1.467
2001,8,13,1.61,1.434
2001,8,6,1.666,1.419
2001,7,30,1.719,1.428
2001,7,23,1.773,
2001,7,16,1.821,1.459
2001,7,9,1.87,1.484
2001,7,2,1.904,
2001,6,25,1.949,1.583
2001,6,18,1.977,1.644
2001,6,11,1.994,1.688
2001,6,4,1.978,1.715
2001,5,28,1.995,1.739
2001,5,21,1.998,1.724
2001,5,14,1.999,1.748
2001,5,7,1.98,1.739
2001,4,30,1.91,1.665
2001,4,23,1.871,1.658
2001,4,16,1.841,
2001,4,9,1.799,
2001,4,2,1.762,1.482
2001,3,26,1.729,1.445
2001,3,19,1.74,1.444
2001,3,12,1.744,1.453
2001,3,5,1.738,1.457
2001,2,26,1.706,1.471
2001,2,19,1.704,1.489
2001,2,12,1.682,1.515
2001,2,5,1.635,1.483
2001,1,29,1.612,
2001,1,22,1.629,1.511
2001,1,15,1.646,1.513
2001,1,8,1.67,1.465
2001,1,1,1.675,1.446
2000,12,25,1.694,1.453
2000,12,18,1.707,1.462
2000,12,11,1.736,
2000,12,4,1.767,1.526
2000,11,27,1.789,1.549
2000,11,20,1.798,
2000,11,13,1.821,1.562
2000,11,6,1.836,1.565
2000,10,30,1.841,1.584
2000,10,23,1.841,1.588
2000,10,16,1.854,1.578
2000,10,9,1.869,1.541
2000,10,2,1.877,1.563
2000,9,25,1.874,1.586
2000,9,18,1.875,1.599
2000,9,11,1.893,1.598
2000,9,4,1.833,1.568
2000,8,28,1.746,1.521
2000,8,21,1.71,1.508
2000,8,14,1.714,1.489
2000,8,7,1.71,1.504
2000,7,31,1.726,1.514
2000,7,24,1.756,1.562
2000,7,17,1.763,1.586
2000,7,10,1.773,
2000,7,3,1.754,1.661
2000,6,26,1.687,1.691
2000,6,19,1.664,1.711
2000,6,12,1.662,1.664
2000,6,5,1.661,1.599
2000,5,29,1.673,1.579
2000,5,22,1.679,1.566
